P.of.T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,ANSC,2803L,51,47370,GEN ANIMAL SCI LAB,,0,78,80,01:00-02:50,T,0105 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
1,ANSC,2803L,52,50480,GEN ANIMAL SCI LAB,,0,2,4,01:00-02:50,S,0105 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
1,ANSC,3813,1,47525,MEAT SCIENCE,,3,26,45,10:00-10:50,M W,0105 TABOR AGR ACAD,"al-Hussein, Abdul Waahid",Main Campus
1,ANSC,3813L,51,47526,PRIN OF MEAT SCI LAB,,0,26,45,03:30-05:20,R,MEAT TECHNOLOGY BUILDING,"al-Hussein, Abdul Waahid",Main Campus
1,ANSC,3823,1,47536,PHYSIOLOGY DOMESTIC ANIMALS,,3,35,45,01:00-01:50,M W,0105 TABOR AGR ACAD,"King, Zeid",Main Campus
1,ANSC,3823L,51,47537,PHYS OF DOMESTIC ANIM. LAB,,0,35,45,04:00-05:50,F,0105 TABOR AGR ACAD,"King, Zeid",Main Campus
1,ANSC,3863,1,50489,DAIRY CATTLE PRODUCTION,,3,21,30,05:00-05:50,M W,0105 TABOR AGR ACAD,"Cha, Tran",Main Campus
1,ANSC,3863L,51,50490,DAIRY CATTLE PROD LAB,,0,21,30,05:30-07:20,T,,"Cha, Tran",Main Campus
1,ANSC,3883,1,47371,APPLIED ANIMAL NUTRITION,,3,28,45,11:00-11:50,M W,0105 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
1,ANSC,3883L,51,47372,APPLIED ANIMAL NUTR LAB,,0,27,45,03:30-05:20,T,0105 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
1,ANSC,3883L,52,50552,APPLIED ANIMAL NUTR LAB,,0,1,5,11:00-12:50,S,0114 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
1,ANSC,4813,1,48816,ANIMAL BREEDING,,3,29,45,06:00-07:15,M W,0105 TABOR AGR ACAD,"Cha, Tran",Main Campus
1,ANSC,4822,1,49822,SENIOR RESEARCH,,2,6,15,06:00-06:50,R,0105 TABOR AGR ACAD,"King, Zeid",Main Campus
1,ANSC,4822L,51,49849,SENIOR RESEARCH LAB,,0,6,15,05:00-06:50,,TABOR AGR ACAD,"King, Zeid",Main Campus
1,ANSC,4841,1,49224,ANIMAL SCIENCE SEMINAR,,1,20,20,04:00-04:50,W,STALLWORTH RSCH,"Armstrong, Desanay",Main Campus
1,ANSC,5123,1,47593,PHYSIOLOGICAL CHEM II,,3,19,20,04:00-04:50,M W F,0101 MEAT TECHNOLOGY BUILDING,"Kramer, James",Main Campus
1,ANSC,5203,1,49281,EXPERIMENTAL DESIGN/DATA ANAL,,3,17,15,05:30-07:00,T R,0101 MEAT TECHNOLOGY BUILDING,"al-Hussein, Abdul Waahid",Main Campus
1,ANSC,6103,1,47814,PLANT-HERBIVORE INTERATIONS,,3,21,20,09:30-10:45,T R,0105 TABOR AGR ACAD,"Soto, Salvador",Main Campus
1,ANSC,6103L,51,47815,PLANT & HERBIVORE INTER LAB,,0,21,20,08:00-09:00,R,,"Soto, Salvador",Main Campus
1,ANSC,6153,1,47816,ANIMAL ENERGETICS,,3,10,15,08:00-08:50,M W F,0101 MEAT TECHNOLOGY BUILDING,"Kramer, James",Main Campus
1,ANSC,6273,1,48406,CELL PHYSIOLOGY,,3,16,20,10:00-10:50,M W F,0101 MEAT TECHNOLOGY BUILDING,"King, Zeid",Main Campus
1,ANSC,6421,1,47817,GRADUATE SEMINARS,,1,5,15,04:00-04:50,T,0101 MEAT TECHNOLOGY BUILDING,"Soto, Salvador",Main Campus
1,ANSC,6436,1,47427,RESEARCH AND THESIS,,1,14,15,02:00-02:50,T,0101 MEAT TECHNOLOGY BUILDING,"King, Zeid",Main Campus
1,ARTH,1000,1,47295,ART APPRECIATION,,3,35,30,10:00-10:50,M W F,0212 MILLER HALL,"el-Ayoub, Muneefa",Main Campus
1,ARTH,1000,2,47404,ART APPRECIATION,,3,34,30,11:00-11:50,M W F,0212 MILLER HALL,"el-Ayoub, Muneefa",Main Campus
1,ARTH,1000,3,47347,ART APPRECIATION,,3,31,30,02:00-02:50,M W F,0212 MILLER HALL,"el-Ayoub, Muneefa",Main Campus
1,ARTH,2000,1,50411,ART HISTORY SURVEY I,- No-cost:$0 required txtbk cost,3,3,30,05:00-07:00,W,0212 MILLER HALL,"el-Ayoub, Muneefa",Main Campus
1,ARTH,2312,1,49290,TYPOGRAPHIC DESIGN,,3,1,20,10:00-10:50,M W,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,2312L,51,49586,TYPOGRAPHIC DESIGN LAB,,0,1,20,10:00-10:50,F,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,2350,1,50422,SCULPTURE,,3,4,20,01:00-02:45,T,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,2350L,51,50423,SCULPTURE LAB,,0,4,20,01:00-02:45,R,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,3103,1,50023,PERSPECTIVE DRAWING,,3,2,20,03:00-04:50,M,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,3103L,51,50024,PERSPECTIVE DRAWING LAB,,0,2,20,03:00-04:50,W,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,3130,1,49832,COLOR THEORY,,3,3,20,09:30-10:45,T,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,3130L,51,49833,COLOR THEORY LAB,,0,2,20,09:30-10:45,R,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,3353,1,49837,HISTORY OF GRAPHIC DESIGN,,3,4,20,09:00-09:50,M W F,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,3369,1,50463,FUND OF GRAPHIC DESIGN,,3,4,20,02:00-02:50,M W F,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,3393,1,48889,DIGITAL MEDIA & DESIGN III,- No-cost:$0 required txtbk cost,3,4,20,03:00-03:50,M W,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,3393L,51,48890,DIGITAL MEDIA & DESIGN III LAB,- No-cost:$0 required txtbk cost,0,4,20,03:00-03:50,F,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,4113,1,49834,PORTFOLIO I,- No-cost:$0 required txtbk cost,3,3,20,11:00-11:50,M W F,0203 MILLER HALL,"Marquez, Edgar",Main Campus
1,ARTH,4483,1,50419,WATERCOLOR PAINTING,,3,1,20,10:00-10:50,M,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,ARTH,4483L,51,50420,WATERCOLOR PAINTING LAB,,0,1,20,10:00-10:50,W,FINE ARTS CENTER,"Trujillo, Matthew",Main Campus
1,BHSC,2300,W1,47846,BEHAVIORAL STATS,,3,38,30,,,,"Rocha, Chance",On-Line
1,BHSC,2300,WH,47374,BEHAVIORAL STATS,,3,36,30,10:00-10:50,M W F,0102 MILLER HALL,"Gooding, Benjamin",Main Campus
1,BIOL,1101,2,47340,INTRO TO BIOLOGY,,1,29,28,02:00-02:50,W,0220 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BIOL,1101,W1,50289,INTRO TO BIOLOGY,- $40 or under req txtbks cost,1,29,30,,,,"al-Abdul, Mamdooh",On-Line
1,BIOL,1104K,2,47254,INTRO BIOLOGY,,4,53,50,09:30-10:45,T R,0120 ACADEMIC CLASSROOM BUILDI,"Qu, Austin",Main Campus
1,BIOL,1104K,W1,47633,INTRO BIOLOGY,,4,41,40,,,,"Qu, Austin",On-Line
1,BIOL,1104K,W2,50503,INTRO BIOLOGY,,4,54,55,,,,"Rodriguez, Issiah",On-Line
1,BIOL,1104L,54,49485,INTRO BIOL LAB,- $40 or under req txtbks cost,0,30,30,03:30-05:20,T,0124 ACADEMIC CLASSROOM BUILDI,"Grange, Danielle",Main Campus
1,BIOL,1104L,55,48584,INTRO BIOL LAB,,0,22,30,12:00-01:50,T,0124 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BIOL,1104L,W51,47635,INTRO BIOL LAB,,0,41,40,,,,"Qu, Austin",On-Line
1,BIOL,1104L,W52,50505,INTRO BIOL LAB,- $40 or under req txtbks cost,0,54,55,,,,"Rodriguez, Issiah",On-Line
1,BIOL,1105,1,47548,ENVIRONMENTAL SCIENCE,,3,44,50,12:30-01:45,T R,0120 ACADEMIC CLASSROOM BUILDI,"Qu, Austin",Main Campus
1,BIOL,1105,2,48486,ENVIRONMENTAL SCIENCE,,3,23,50,03:15-04:30,T R,0120 ACADEMIC CLASSROOM BUILDI,"Qu, Austin",Main Campus
1,BIOL,1105,W1,47547,ENVIRONMENTAL SCIENCE,,3,35,40,,,,"Qu, Austin",On-Line
1,BIOL,1107K,1,49077,PRINCIPLES OF BIOLOGY I,#NAME?,4,46,40,10:00-10:50,M W F,0111 ACADEMIC CLASSROOM BUILDI,"Grange, Danielle",Main Campus
1,BIOL,1107K,2,50059,PRINCIPLES OF BIOLOGY I,#NAME?,4,46,50,03:00-03:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Grange, Danielle",Main Campus
1,BIOL,1107K,3,48801,PRINCIPLES OF BIOLOGY I,#NAME?,4,47,50,02:00-02:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Kim, Chuan-Kun",Main Campus
1,BIOL,1107L,52,47465,PRIN OF BIOL LAB,,0,38,30,02:00-03:50,R,0124 ACADEMIC CLASSROOM BUILDI,"Grange, Danielle",Main Campus
1,BIOL,1107L,53,50060,PRIN OF BIOL LAB,- No-cost:$0 required txtbk cost,0,31,30,04:00-05:50,R,0124 ACADEMIC CLASSROOM BUILDI,"Grange, Danielle",Main Campus
1,BIOL,1107L,54,47513,PRIN OF BIOL LAB,,0,34,30,12:00-01:50,R,0124 ACADEMIC CLASSROOM BUILDI,"Kim, Chuan-Kun",Main Campus
1,BIOL,1107L,55,49313,PRIN OF BIOL LAB,- No-cost:$0 required txtbk cost,0,35,30,10:00-11:50,R,0124 ACADEMIC CLASSROOM BUILDI,"Mccluskey, Ilysh",Main Campus
1,BIOL,1108K,2,47841,PRINCIPLES OF BIOLOGY II,,4,45,40,12:30-01:45,T R,0111 ACADEMIC CLASSROOM BUILDI,"Baker, Danielle",Main Campus
1,BIOL,1108K,3,47342,PRINCIPLES OF BIOLOGY II,,4,39,35,02:00-03:15,T R,0111 ACADEMIC CLASSROOM BUILDI,"Baker, Danielle",Main Campus
1,BIOL,1108K,W1,47869,PRINCIPLES OF BIOLOGY II,,4,61,60,,,,"Rodriguez, Issiah",On-Line
1,BIOL,1108L,51,47467,PRIN OF BIOL LAB,,0,29,30,02:00-03:50,M,0131 ACADEMIC CLASSROOM BUILDI,"Baker, Danielle",Main Campus
1,BIOL,1108L,52,47498,PRIN OF BIOL LAB,,0,16,30,02:00-03:50,T,0131 ACADEMIC CLASSROOM BUILDI,"Mccluskey, Ilysh",Main Campus
1,BIOL,1108L,53,47468,PRIN OF BIOL LAB,,0,10,30,12:00-01:50,T,0131 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,1108L,55,48585,PRIN OF BIOL LAB,,0,27,30,10:00-11:50,W,0131 ACADEMIC CLASSROOM BUILDI,"Kim, Chuan-Kun",Main Campus
1,BIOL,1108L,W51,47870,PRIN OF BIOL LAB,,0,63,60,,,,"Rodriguez, Issiah",On-Line
1,BIOL,2251,1,50150,HUM ANATOMY & PHYSIOLOGY I,,4,41,38,08:00-08:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,2251L,51,50151,HUM ANATOMY & PHYSIO I LAB,,0,42,38,06:00-08:00,F,0326 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,2252,1,50456,HUM ANATOMY & PHYSIOLOGY II,,4,41,30,10:00-10:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,2252L,51,50457,HUM ANATOMY & PHYSIO II LAB,,0,41,30,01:00-03:50,F,0326 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,2260K,1,50373,FOUNDATIONS OF MICROBIOLOGY,,4,35,30,09:00-09:50,M W,0111 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,2260L,51,50375,FNDS OF MICROBIOLOGY LAB,,0,35,30,11:00-12:50,M W,0133 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,3014,1,49779,ECOLOGY,,4,15,30,09:00-09:50,M W F,0134 ACADEMIC CLASSROOM BUILDI,"Baker, Danielle",Main Campus
1,BIOL,3014L,51,49780,ECOLOGY LAB,,0,15,30,03:30-06:00,T,0134 ACADEMIC CLASSROOM BUILDI,"Baker, Danielle",Main Campus
1,BIOL,3017,1,49491,FORENSICS II,,3,10,20,11:00-12:15,M W,0122 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BIOL,3222L,1,49315,INVESTIGATIONS IN CELL BIOLOGY,,2,25,25,09:30-10:45,T R,0324 ACADEMIC CLASSROOM BUILDI,"al-Saad, Najeema",Main Campus
1,BIOL,3223,1,47354,CELL & MOLECULAR BIOLOGY,,3,26,35,11:00-11:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,3345,1,49781,PRINCIPLES OF TOXICOLOGY,,3,16,30,10:00-10:50,M W F,0321 ACADEMIC CLASSROOM BUILDI,"al-Saad, Najeema",Main Campus
1,BIOL,4111,1,47257,SPECIAL PROJECTS IN BIOLOGY,,1,2,0,,,,"al-Abdul, Mamdooh",Main Campus
1,BIOL,4112,1,47387,SPECIAL PROJECTS IN BIOLOGY,,1,0,0,,,,"Armbruster, Connor",Main Campus
1,BIOL,4113,2,49189,SPECIAL PROJECTS IN BIOLOGY,- No-cost:$0 required txtbk cost,1,1,0,,,,"al-Saad, Najeema",Main Campus
1,BIOL,4222,1,47258,BIOLOGY SEMINAR,,1,21,30,10:00-10:50,T,0111 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,4234K,1,47363,MICROBIOLOGY,,4,43,35,08:00-08:50,M W,0111 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,4234L,51,47470,MICROBIOLOGY LAB,,0,42,35,01:00-02:50,M W,0133 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,4234L,52,50510,MICROBIOLOGY LAB,,0,1,1,04:00-05:50,M W,0133 ACADEMIC CLASSROOM BUILDI,"Armbruster, Connor",Main Campus
1,BIOL,4254K,1,47364,GENETICS,,4,38,34,09:00-09:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,4254L,51,47471,GENETICS LAB,,0,38,34,03:00-05:50,M,0324 ACADEMIC CLASSROOM BUILDI,"Ramirez, Joel",Main Campus
1,BIOL,4272L,1,47531,BIOTECHNIQUES,,2,16,30,02:00-03:15,T R,0220 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BIOL,4343L,1,47335,SENIOR PROJECT,,3,8,0,,,,"Armbruster, Connor",Main Campus
1,BIOL,4343L,3,47344,SENIOR PROJECT,,3,8,0,,,,"al-Abdul, Mamdooh",Main Campus
1,BIOL,4343L,6,48121,SENIOR PROJECT,,3,5,0,,,,"al-Saad, Najeema",Main Campus
1,BIOL,4384K,1,50391,LIMNOLOGY,,4,6,20,09:30-10:45,T R,0134 ACADEMIC CLASSROOM BUILDI,"Kim, Chuan-Kun",Main Campus
1,BIOL,4384L,51,50392,LIMNOLOGY LAB,,0,6,20,03:30-06:20,R,0134 ACADEMIC CLASSROOM BUILDI,"Kim, Chuan-Kun",Main Campus
1,BIOT,5373,1,50115,PLANT TISSUE & CELL CULTURE,,3,12,12,09:00-09:50,M W,STALLWORTH,"Couch, Jonathan",Main Campus
1,BIOT,5373L,51,50116,PLANT TISS. & CELL CULT. LAB,,0,12,12,09:00-10:50,F,STALLWORTH,"Couch, Jonathan",Main Campus
1,BIOT,6053,1,48048,BIOINFORMATICS,,3,8,10,08:00-09:15,T R,STALLWORTH,"Fhuere, Alexandra",Main Campus
1,BIOT,6523,1,49134,COMMUNICATIONS IN BIOTECHNOLOG,,3,16,20,02:00-03:15,T R,STALLWORTH,"al-Suleiman, Nazmiyya",Main Campus
1,BIOT,6533,1,48399,SPECIALTY PLANT & CROP IMPROVE,,3,5,10,11:00-11:50,M W,STALLWORTH,"Nalla, Adam",Main Campus
1,BIOT,6533L,51,48452,SPEC PLANTS/CROP IMPROV LAB,,0,5,10,02:00-03:50,W,0117 STALLWORTH RSCH,"Nalla, Adam",Main Campus
1,BIOT,6993,1,47580,MASTER'S THESIS RESEARCH,,1,5,20,08:00-08:50,MTWRF,STALLWORTH,"al-Suleiman, Nazmiyya",Main Campus
1,BLOG,3133,W1,49322,BUSINESS LOGISTICS,,3,31,30,,,,"Fernandez, Jesus",On-Line
1,BLOG,4213,WH,48920,PHYSICAL DISTRIBUTION,,3,10,30,09:30-10:45,T R,0321 COMPUTER TECHNOLOGY/MATHE,"Lovejoy, Othell",Main Campus
1,BLOG,4223,WH,47763,TRANSPORTATION,,3,11,30,03:30-04:45,T R,0204 COMPUTER TECHNOLOGY/MATHE,"Kincaid, Ariel",Main Campus
1,BLOG,4233,WH,48080,GLOBAL LOGISTICS,,3,11,30,02:00-03:15,T R,0302 COMPUTER TECHNOLOGY/MATHE,"Kincaid, Ariel",Main Campus
1,BLOG,4253,WH,47793,STRATEGIC SUPPLY CHAIN MNGT,,3,6,30,11:00-12:15,M W,0301 COMPUTER TECHNOLOGY/MATHE,"Kincaid, Ariel",Main Campus
1,BLOG,4263,WH,48941,LEAN SUPP CHN & LOGISTICS MNGT,,3,9,30,12:30-01:45,M W,0201 COMPUTER TECHNOLOGY/MATHE,"Kincaid, Ariel",Main Campus
1,BLOG,4273,WH,48594,SUPPLY CHAIN ANALYSIS,,3,6,30,09:30-10:45,M W,0201 COMPUTER TECHNOLOGY/MATHE,"Lovejoy, Othell",Main Campus
1,BLOG,4273,WH2,50498,SUPPLY CHAIN ANALYSIS,,3,1,1,08:00-09:15,T R,COMPUTER TECHNOLOGY/MATHE,"Lovejoy, Othell",Main Campus
1,BOTN,2001K,1,47365,GENERAL BOTANY,,4,12,30,10:00-10:50,M W F,0324 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BOTN,2001L,51,47367,GENERAL BOTANY LAB,,0,12,30,03:30-06:15,R,0324 ACADEMIC CLASSROOM BUILDI,"al-Abdul, Mamdooh",Main Campus
1,BUSA,1911,W1,49601,LEADERSHIP DEVELOPMENT I,,1,40,30,,,,"Hassan, Au",On-Line
1,BUSA,1911,W2,50500,LEADERSHIP DEVELOPMENT I,,1,30,30,,,,"Hassan, Au",On-Line
1,BUSA,1911,WH,47794,LEADERSHIP DEVELOPMENT I,,1,36,30,05:30-06:20,T,0104 MILLER HALL,"al-Jabbar, Ameen",Main Campus
1,BUSA,1921,W1,49478,LEADERSHIP DEVELOPMENT II,,1,37,30,,,,"Hassan, Au",On-Line
1,BUSA,1921,W2,50501,LEADERSHIP DEVELOPMENT II,,1,25,30,,,,"Hassan, Au",On-Line
1,BUSA,1921,WH,50432,LEADERSHIP DEVELOPMENT II,,1,29,30,06:30-07:20,T,0104 MILLER HALL,"al-Jabbar, Ameen",Main Campus
1,BUSA,2105,WH,47484,COMMUN. IN THE BUSI. ENVIRO,,3,34,30,05:30-08:15,M,0204 COMPUTER TECHNOLOGY/MATHE,"Fernandez, Jesus",Main Campus
1,BUSA,2503,W1,47648,BUSINESS INFORMATION SYSTEM,,3,34,30,,,,"Baxter, Ryan",On-Line
1,BUSA,3103,W1,47792,FINANCIAL MANAGEMENT,,3,38,30,,,,"Davis, Kheylen",On-Line
1,BUSA,3203,WH,48433,QUANTITATIVE METHODS,,3,28,30,02:00-03:15,T R,0321 COMPUTER TECHNOLOGY/MATHE,"Lovejoy, Othell",Main Campus
1,BUSA,3213,WH,49185,STATS FOR BUSINESS & ECON,,3,26,30,02:00-03:15,M W,0321 COMPUTER TECHNOLOGY/MATHE,"Lovejoy, Othell",Main Campus
1,BUSA,3313,WH,47563,"LEGAL,SOCIAL,ETHICAL ENVIRO",,3,33,30,02:00-03:15,M W,0110 COMPUTER TECHNOLOGY/MATHE,"Caldera-Velazquez, Sabryna",Main Campus
1,BUSA,4123,WH,47351,INTERNSHIP,- No-cost:$0 required txtbk cost,3,17,30,,,COMPUTER TECHNOLOGY/MATHE,"Bui, Analie",Main Campus
1,BUSA,4353,WH,50410,INTRO TO INTERNATIONAL BUSINES,,3,22,30,09:30-10:45,M W,0202 COMPUTER TECHNOLOGY/MATHE,"Caldera-Velazquez, Sabryna",Main Campus
1,CHEM,1211,1,50031,PRINCIPLE OF CHEMISTRY I,,3,41,35,11:00-11:50,M W F,0111 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1211,2,50032,PRINCIPLE OF CHEMISTRY I,,3,32,25,09:30-10:45,T R,0321 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1211L,51,50033,PRIN OF CHEM LAB,- $40 or under req txtbks cost,1,23,24,03:00-05:50,M,0237 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,1211L,52,50034,PRIN OF CHEM LAB,- $40 or under req txtbks cost,1,22,24,12:00-02:50,T,0237 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1211L,53,50035,PRIN OF CHEM LAB,- $40 or under req txtbks cost,1,20,24,03:00-05:50,T,0237 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1212,1,50036,PRINCIPLE OF CHEMISTRY II,- $40 or under req txtbks cost,3,35,40,09:00-09:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,1212,2,50037,PRINCIPLE OF CHEMISTRY II,- $40 or under req txtbks cost,3,22,40,10:00-10:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,1212,3,50455,PRINCIPLE OF CHEMISTRY II,- $40 or under req txtbks cost,3,26,40,03:00-03:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1212L,51,50038,PRIN OF CHEM LAB II,- $40 or under req txtbks cost,1,25,24,12:00-02:50,R,0237 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
